"date","value","topic","variable","location","unit","origin","update","public","description"
2020-03-19,25034,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-20,22106,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-03-21,11686,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-01,25188,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-02,25689,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-03,37103,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-04,34773,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-05,36510,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-06,41784,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-07,44068,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-08,44391,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-09,49034,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-10,50360,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-11,46181,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-12,36505,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-13,44651,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-14,50084,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-15,50505,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-16,50932,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-17,46907,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-18,48690,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
